"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Otsoni [µg/m3]","Hengitettävät hiukkaset <10 µm [µg/m3]","Pienhiukkaset <2.5 µm [µg/m3]","Ilmanlaatuindeksi [1/5]"
"Helsinki Kallio 2","2020","4","28","07:00","36.8","5.2","2.7","1"
"Helsinki Kallio 2","2020","4","28","08:00","41.9","9","2.3","1"
"Helsinki Kallio 2","2020","4","28","09:00","56.4","9.1","2.1","1"
"Helsinki Kallio 2","2020","4","28","10:00","56.8","9.1","2.6","1"
"Helsinki Kallio 2","2020","4","28","11:00","63","7.6","1.4","2"
"Helsinki Kallio 2","2020","4","28","12:00","68.5","8.2","2.4","2"
"Helsinki Kallio 2","2020","4","28","13:00","65.3","11.5","1.9","2"
"Helsinki Kallio 2","2020","4","28","14:00","65.2","18.7","3.1","2"
"Helsinki Kallio 2","2020","4","28","15:00","67.5","25.2","4.1","2"
"Helsinki Kallio 2","2020","4","28","16:00","70.2","26.2","3","2"
"Helsinki Kallio 2","2020","4","28","17:00","74.2","17.4","4.3","2"
"Helsinki Kallio 2","2020","4","28","18:00","74.4","11.7","3.9","2"
"Helsinki Kallio 2","2020","4","28","19:00","74","8.4","3.2","2"
"Helsinki Kallio 2","2020","4","28","20:00","73.1","8.6","3.8","2"
"Helsinki Kallio 2","2020","4","28","21:00","71.1","9.1","3.5","2"
"Helsinki Kallio 2","2020","4","28","22:00","68.1","6.1","2.8","2"
"Helsinki Kallio 2","2020","4","28","23:00","67.2","7.3","3.4","2"
"Helsinki Kallio 2","2020","4","29","00:00","64.6","7.3","4.8","2"
"Helsinki Kallio 2","2020","4","29","01:00","60.7","5.7","4.9","2"
"Helsinki Kallio 2","2020","4","29","02:00","60.2","4.9","5.1","2"
"Helsinki Kallio 2","2020","4","29","03:00","56.7","4.6","5.3","1"
"Helsinki Kallio 2","2020","4","29","04:00","55.7","4.8","5.3","1"
"Helsinki Kallio 2","2020","4","29","05:00","57.8","4.9","5.7","1"
"Helsinki Kallio 2","2020","4","29","06:00","52.3","4.8","5","1"
"Helsinki Kallio 2","2020","4","29","07:00","42.2","5","5.2","1"
"Helsinki Kallio 2","2020","4","29","08:00","34","7.1","6","1"
"Helsinki Kallio 2","2020","4","29","09:00","42","10.3","8.2","1"
"Helsinki Kallio 2","2020","4","29","10:00","44","12.1","8.1","1"
"Helsinki Kallio 2","2020","4","29","11:00","52.1","15","8.1","1"
